movieId|title|year|overview|cover_url|genresAdventure|Animation|Children|Comedy|Fantasy|Romance|Drama|Action|Thriller|Horror|Crime|Mystery|Sci-Fi|Musical|Documentary|War|IMAX|Western|Film-Noir|(no genres listed)
1|Toy Story|1995|"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."|https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._UX512.jpg|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|Jumanji|1995|"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."|https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._UX512.jpg|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3|Grumpier Old Men|1995|"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcÃ©e opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."|https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._UX512.jpg|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|Waiting to Exhale|1995|"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive good man to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."|https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._UX512.jpg|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
5|Father of the Bride Part II|1995|"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own."|https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._UX512.jpg|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
8|Tom and Huck|1995|"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."|https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._UX512.jpg|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9|Sudden Death|1995|"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer..."|https://m.media-amazon.com/images/M/MV5BYWEyODkwYTItZDI1ZC00ODhiLWFkNGMtMTU3NTk2ZGMxYjE3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._UX512.jpg|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
10|GoldenEye|1995|"James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain."|https://m.media-amazon.com/images/M/MV5BOWI0MTJlMjEtYTI0ZS00NWZiLWE1ZmItYzBlZTE5YTk3NTJiXkEyXkFqcGdeQXVyMTEwNDU1MzEy._UX512.jpg|1|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
12|Dracula: Dead and Loving It|1995|"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count."|https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._UX512.jpg|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
13|Balto|1995|"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."|https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._UX512.jpg|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
14|Nixon|1995|"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency."|https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._UX512.jpg|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
15|Cutthroat Island|1995|"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."|https://m.media-amazon.com/images/M/MV5BNjg0ZjIzMDYtNmUyNS00NzQxLWFhZGQtOGYzMzE0ZWEwM2UxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._UX512.jpg|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0
16|Casino|1995|"The life of the gambling paradise â Las Vegas â and its dark mafia underbelly."|https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._UX512.jpg|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0
18|Four Rooms|1995|"It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another."|https://m.media-amazon.com/images/M/MV5BOTUyYjA4OWQtZjU4Ni00OGVkLWE1MWUtZTdmNmI4OWRiZGU1XkEyXkFqcGdeQXVyNDkzNTM2ODg@._UX512.jpg|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
19|Ace Ventura: When Nature Calls|1995|"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."|https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._UX512.jpg|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20|Money Train|1995|"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."|https://m.media-amazon.com/images/M/MV5BNjc3YjQwNGEtODI4Ny00MzgyLWEyMWYtNzMyMjk0MmI4YjY1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._UX512.jpg|0|0|0|1|0|0|1|1|1|0|1|0|0|0|0|0|0|0|0|0
21|Get Shorty|1995|"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic Bones Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."|https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._UX512.jpg|0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0
22|Copycat|1995|"An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past."|https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._UX512.jpg|0|0|0|0|0|0|1|0|1|1|1|1|0|0|0|0|0|0|0|0
23|Assassins|1995|"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."|https://m.media-amazon.com/images/M/MV5BZWY5MGQ1NTQtNzkzNy00YTRkLTk2MjQtZTliNTJiNWZhMzk2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._UX512.jpg|0|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0
